,accuracy,categorical_crossentropy,loss,val_accuracy,val_categorical_crossentropy,val_loss,learning_rate
0,0.2522902190685272,1.800582766532898,1.800582766532898,0.20562830567359924,1.9847486019134521,1.9847486019134521,0.0010000000474974513
1,0.30509597063064575,1.726622462272644,1.726622462272644,0.2911674678325653,1.7852569818496704,1.7852569818496704,0.0010000000474974513
2,0.3599916398525238,1.6075468063354492,1.6075468063354492,0.38409027457237244,1.5348519086837769,1.5348519086837769,0.0010000000474974513
3,0.39928245544433594,1.5236921310424805,1.5236921310424805,0.3879910707473755,1.5915828943252563,1.5915828943252563,0.0010000000474974513
4,0.4270089566707611,1.454710841178894,1.454710841178894,0.407634437084198,1.4952090978622437,1.4952090978622437,0.0010000000474974513
5,0.44717684388160706,1.4023314714431763,1.4023314714431763,0.4590415060520172,1.366888165473938,1.366888165473938,0.0010000000474974513
6,0.47382354736328125,1.3594410419464111,1.3594410419464111,0.4703260064125061,1.342542052268982,1.342542052268982,0.0010000000474974513
7,0.498519629240036,1.3052672147750854,1.3052672147750854,0.49066591262817383,1.3065555095672607,1.3065555095672607,0.0010000000474974513
8,0.5265944600105286,1.2462471723556519,1.2462471723556519,0.5214544534683228,1.2524489164352417,1.2524489164352417,0.0010000000474974513
9,0.5417464971542358,1.2101054191589355,1.2101054191589355,0.5285595059394836,1.2374516725540161,1.2374516725540161,0.0010000000474974513
