,accuracy,categorical_crossentropy,loss,val_accuracy,val_categorical_crossentropy,val_loss,learning_rate
0,0.3027622103691101,1.7256662845611572,1.7256662845611572,0.36068543791770935,1.6105486154556274,1.6105486154556274,4.999999873689376e-05
1,0.4032881557941437,1.5287084579467773,1.5287084579467773,0.4492895007133484,1.4241708517074585,1.4241708517074585,4.999999873689376e-05
2,0.4581141769886017,1.4053324460983276,1.4053324460983276,0.47979938983917236,1.3599960803985596,1.3599960803985596,4.999999873689376e-05
3,0.4988679587841034,1.3083215951919556,1.3083215951919556,0.5050153136253357,1.2885879278182983,1.2885879278182983,4.999999873689376e-05
4,0.5323765873908997,1.2298024892807007,1.2298024892807007,0.5264697670936584,1.2378977537155151,1.2378977537155151,4.999999873689376e-05
5,0.5509770512580872,1.1752166748046875,1.1752166748046875,0.5447199940681458,1.2000173330307007,1.2000173330307007,4.999999873689376e-05
6,0.5715977549552917,1.1309733390808105,1.1309733390808105,0.5257731676101685,1.2328460216522217,1.2328460216522217,4.999999873689376e-05
7,0.5860531330108643,1.091444730758667,1.091444730758667,0.5463917255401611,1.228925108909607,1.228925108909607,4.999999873689376e-05
8,0.6021456718444824,1.0555282831192017,1.0555282831192017,0.5725829005241394,1.138211965560913,1.138211965560913,4.999999873689376e-05
9,0.6111323833465576,1.0283082723617554,1.0283082723617554,0.5901365280151367,1.08428156375885,1.08428156375885,4.999999873689376e-05
10,0.6454073786735535,0.9385430216789246,0.9385430216789246,0.6129841208457947,1.0447107553482056,1.0447107553482056,1.4999999621068127e-05
11,0.6540806293487549,0.9171315431594849,0.9171315431594849,0.6260796785354614,1.0226950645446777,1.0226950645446777,1.4999999621068127e-05
12,0.6666550636291504,0.8910642862319946,0.8910642862319946,0.6251044869422913,1.0303411483764648,1.0303411483764648,1.4999999621068127e-05
13,0.6768609285354614,0.8579825162887573,0.8579825162887573,0.6334633827209473,1.003600835800171,1.003600835800171,4.499999704421498e-06
14,0.6830262541770935,0.8455002307891846,0.8455002307891846,0.6322095394134521,1.0073682069778442,1.0073682069778442,4.499999704421498e-06
